matchId,participants,id
3403498541," 11, 91, 236, 86, 16, 82, 13, 78, 350, 145",1
3403498547," 19, 36, 161, 21, 86, 22, 14, 91, 131, 111",2
3403498556," 77, 126, 61, 119, 117, 246, 143, 202, 84, 245",3
3403498610," 45, 57, 412, 236, 875, 78, 202, 40, 421, 105",4
3403498668," 104, 24, 21, 25, 5, 91, 6, 254, 236, 412",5
3403498684," 141, 350, 498, 58, 245, 112, 110, 117, 107, 57",6
3403498689," 202, 106, 61, 350, 875, 54, 33, 31, 16, 145",7
3403498707," 62, 8, 90, 89, 51, 11, 117, 17, 131, 202",8
3403498717," 80, 120, 7, 145, 8, 6, 53, 202, 113, 245",9
3403498721," 114, 875, 412, 222, 64, 350, 245, 98, 21, 555",10
3403498730," 31, 75, 127, 28, 110, 21, 11, 86, 4, 235",11
3403498731," 59, 25, 245, 222, 68, 19, 81, 114, 50, 112",12
3403498747," 8, 412, 22, 56, 121, 157, 5, 119, 89, 17",13
3403498757," 64, 42, 222, 83, 37, 103, 267, 22, 154, 41",14
3403498777," 99, 133, 36, 427, 84, 64, 101, 157, 37, 110",15
3403498786," 126, 32, 103, 236, 23, 21, 25, 24, 238, 11",16
3403498787," 44, 24, 90, 29, 106, 81, 114, 12, 104, 112",17
3403498788," 64, 57, 105, 25, 69, 80, 412, 45, 51, 102",18
3403498795," 145, 63, 235, 75, 104, 53, 58, 236, 2, 105",19
3403498799," 35, 266, 69, 67, 412, 154, 240, 107, 21, 104",20
3403498815," 43, 29, 31, 104, 23, 266, 110, 24, 99, 105",21
3403498837," 102, 51, 240, 245, 432, 12, 68, 104, 498, 150",22
3403498861," 105, 122, 119, 53, 32, 412, 21, 154, 23, 7",23
3403498873," 268, 141, 48, 21, 53, 55, 245, 83, 236, 43",24
3403498875," 2, 236, 412, 90, 10, 120, 245, 20, 145, 99",25
3403498876," 74, 254, 202, 58, 235, 3, 64, 498, 7, 98",26
3403498883," 40, 115, 24, 81, 203, 266, 117, 102, 222, 23",27
3403498886," 80, 45, 51, 240, 99, 76, 235, 92, 41, 202",28
3403498905," 38, 24, 62, 67, 497, 41, 421, 22, 37, 101",29
3403498907," 91, 82, 32, 117, 523, 99, 8, 143, 19, 51",30
3403498918," 104, 245, 145, 24, 497, 54, 67, 77, 89, 101",31
3403498928," 45, 26, 19, 81, 86, 106, 21, 267, 134, 64",32
